activity_id,which_distribution,which_units,log_plot,per_dollar_ok,has_exp,actual_total_expenditure,outcome_norm,baseline_norm,target_norm,outcome_norm_log10,baseline_norm_log10,target_norm_log10,outcome_norm_dollars_per_unit,baseline_norm_dollars_per_unit,target_norm_dollars_per_unit,outcome_norm_dollars_per_unit_log10,baseline_norm_dollars_per_unit_log10,target_norm_dollars_per_unit_log10,outcome_norm_dollars_per_unit_split,baseline_norm_dollars_per_unit_split,target_norm_dollars_per_unit_split,outcome_norm_dollars_per_unit_split_log10,baseline_norm_dollars_per_unit_split_log10,target_norm_dollars_per_unit_split_log10,outcome_over_target
44000-P108444,stoves,count_stoves,True,True,True,69343083.0,4044.0,,,3.6068111469189637,,,17147.152077151335,,,4.234191999604223,,,17147.152077151335,,,4.234191999604223,,,
44000-P120788,benefit_cost_ratios,ratio,True,False,True,30334801.0,4.0,,,0.6020599913279624,,,,,,,,,,,,,,,
44000-P087925,benefit_cost_ratios,ratio,True,False,True,14298989.0,4.14,,,0.617000341120899,,,,,,,,,,,,,,,
44000-P084148,benefit_cost_ratios,ratio,True,False,True,106536405.0,1.67,,,0.22271647114758328,,,,,,,,,,,,,,,
XM-DAC-41114-PROJECT-00101442,stoves,count_stoves,True,True,False,,3500.0,,12200.0,3.5440680443502757,,4.086359830674748,,,,,,,,,,,,,0.28688524590163933
44000-P049395,stoves,count_stoves,True,True,True,164789727.0,2600000.0,0.0,2600000.0,6.414973347970818,,6.414973347970818,63.380664230769234,,63.380664230769234,1.80195678629395,,1.80195678629395,63.380664230769234,,63.380664230769234,1.80195678629395,,1.80195678629395,1.0
44000-P121186,benefit_cost_ratios,ratio,True,False,True,61813719.0,1.72,,,0.23552844690754893,,,,,,,,,,,,,,,
44000-P111034,benefit_cost_ratios,ratio,True,False,True,91060013.0,37.0,36.0,,1.568201724066995,1.5563025007672873,,,,,,,,,,,,,,
44000-P133327,benefit_cost_ratios,ratio,True,False,True,56978096.0,2.83,5.82,7.14,0.4517864355242902,0.7649229846498885,0.8536982117761743,,,,,,,,,,,,,0.396358543417367
44000-P155658,benefit_cost_ratios,ratio,True,False,True,174259428.0,15.5,6.3,11.1,1.1903316981702914,0.7993405494535817,1.0453229787866574,,,,,,,,,,,,,1.3963963963963963
XM-DAC-46004-41171-022-GRNT0243,benefit_cost_ratios,ratio,True,False,True,11935370.48,1.2,,,0.07918124604762482,,,,,,,,,,,,,,,
44000-P078091,stoves,count_stoves,True,True,True,39391150.0,347858.0,,,5.541401995665218,,,113.23916655646845,,,2.0539966642849166,,,113.23916655646845,,,2.0539966642849166,,,
44000-P126813,benefit_cost_ratios,ratio,True,False,True,98457690.0,1.97,1.67,,0.2944662261615929,0.22271647114758328,,,,,,,,,,,,,,
44000-P132982,benefit_cost_ratios,ratio,True,False,True,57573477.0,23.6,,,1.3729120029701067,,,,,,,,,,,,,,,
44000-P093384,benefit_cost_ratios,ratio,True,False,True,30000000.0,2.4,,,0.38021124171160603,,,,,,,,,,,,,,,
44000-P126516,benefit_cost_ratios,ratio,True,False,True,46033880.0,3.7,,,0.568201724066995,,,,,,,,,,,,,,,
44000-P154698,benefit_cost_ratios,ratio,True,False,True,87690709.0,9.05,0.0,9.05,0.9566485792052033,,0.9566485792052033,,,,,,,,,,,,,1.0
44000-P091297,benefit_cost_ratios,ratio,True,False,True,13469280.0,1.1,,1.0,0.04139268515822507,,0.0,,,,,,,,,,,,,1.1
44000-P126440,benefit_cost_ratios,ratio,True,False,True,90522713.0,16.55,,,1.2187979981117376,,,,,,,,,,,,,,,
44000-P163383,benefit_cost_ratios,ratio,True,False,True,96151984.0,4.7,3.8,,0.6720978579357175,0.5797835966168101,,,,,,,,,,,,,,
44000-P078091,benefit_cost_ratios,ratio,True,False,True,39391150.0,2.8,,,0.4471580313422192,,,,,,,,,,,,,,,
44000-P151909,benefit_cost_ratios,ratio,True,False,True,25396518.0,1.5,1.5,1.5,0.17609125905568124,0.17609125905568124,0.17609125905568124,,,,,,,,,,,,,1.0
44000-P088671,benefit_cost_ratios,ratio,True,False,True,23203644.0,2.22,,,0.3463529744506387,,,,,,,,,,,,,,,
44000-P157127,benefit_cost_ratios,ratio,True,False,True,105176968.0,1.46,,,0.1643528557844371,,,,,,,,,,,,,,,
44000-P166802,benefit_cost_ratios,ratio,True,False,True,43432740.0,2.16,,,0.3344537511509309,,,,,,,,,,,,,,,
GB-GOV-7-BPFGFCR,benefit_cost_ratios,ratio,True,False,True,51117500.0,188.0,,,2.27415784926368,,,,,,,,,,,,,,,
44000-P121774,benefit_cost_ratios,ratio,True,False,True,269988740.0,1.08,1.64,,0.03342375548694973,0.21484384804769785,,,,,,,,,,,,,,
44000-P119085,benefit_cost_ratios,ratio,True,False,True,1028467066.0,6.22,,,0.7937903846908186,,,,,,,,,,,,,,,
44000-P127813,benefit_cost_ratios,ratio,True,False,True,44744552.0,1.63,0.0,,0.21218760440395779,,,,,,,,,,,,,,,
44000-P123133,benefit_cost_ratios,ratio,True,False,True,100000004.0,3.27,,3.15,0.5145477526602861,,0.49831055378960054,,,,,,,,,,,,,1.0380952380952382
44000-P143594,benefit_cost_ratios,ratio,True,False,True,13080517.0,3.3,,,0.5185139398778874,,,,,,,,,,,,,,,
44000-P128891,benefit_cost_ratios,ratio,True,False,True,589371264.0,1.43,,,0.1553360374650618,,,,,,,,,,,,,,,
